date,open,high,low,close,volume
2024-12-25,241.43,243.26,240.79,243.14,4452168.0
2024-12-26,242.72,243.39,240.04,241.17,5724807.0
2024-12-30,240.05,241.4393,239.03,239.71,4870971.0
2025-01-01,240.92,243.276,239.45,240.0,9220914.0
2025-01-02,243.89,244.88,240.26,243.28,9481053.0
2025-01-06,242.14,245.26,240.9,243.17,8753357.0
2025-01-07,242.75,244.25,240.5,243.13,8648684.0
2025-01-09,243.09,243.81,238.74,239.87,10256829.0
2025-01-13,242.66,247.72,242.19,247.47,12395886.0
2025-01-14,250.4,253.6699,243.68,252.35,18448520.0
2025-01-15,254.0,257.035,252.33,254.27,15292348.0
2025-01-16,254.14,260.62,252.14,259.16,17548101.0
2025-01-20,260.07,264.25,259.5037,263.03,13620689.0
2025-01-21,262.9,263.38,260.25,262.84,9021914.0
2025-01-22,264.69,266.8599,263.81,265.95,10749681.0
2025-01-23,263.69,267.1,263.01,264.84,7666261.0
2025-01-27,265.85,267.33,264.8301,267.14,7375391.0
2025-01-28,267.21,270.68,265.61,266.58,7684870.0
2025-01-29,268.63,269.7,266.6201,268.23,8753466.0
2025-01-30,269.23,270.82,266.96,267.3,7196268.0
2025-02-03,269.84,269.84,266.83,267.94,5625972.0
2025-02-04,268.91,270.64,268.33,270.43,5704431.0
2025-02-05,272.45,276.98,271.19,276.9,7264371.0
2025-02-06,277.27,278.55,274.715,275.8,6857875.0
2025-02-10,270.26,276.22,269.66,274.99,7196376.0
2025-02-11,274.08,276.45,273.25,275.45,6683894.0
2025-02-12,275.5,276.97,273.81,276.32,8398667.0
2025-02-13,277.37,279.2334,276.45,276.59,5688627.0
2025-02-17,276.76,279.97,276.02,279.95,7919798.0
2025-02-18,278.38,280.25,277.22,279.25,7007248.0
2025-02-19,278.675,278.74,265.735,266.8,13846671.0
2025-02-20,268.32,269.1955,262.84,264.24,12584266.0
2025-02-24,262.23,263.0,253.35,257.4,9608439.0
2025-02-25,257.16,260.9115,256.93,258.79,5938585.0
2025-02-26,260.18,263.64,257.86,259.05,8204447.0
2025-02-27,260.73,264.81,257.89,264.65,10467126.0
2025-03-03,255.28,257.23,245.95,250.25,13465630.0
2025-03-04,251.25,253.05,247.83,251.53,7860724.0
2025-03-05,248.11,249.36,243.85,246.54,9983235.0
2025-03-06,245.23,246.72,239.42,242.28,20498734.0
2025-03-10,231.745,233.32,226.69,229.14,18072695.0
2025-03-11,234.0,234.32,227.26,227.9,16054015.0
2025-03-12,229.3,229.5,224.23,225.19,16464251.0
2025-03-13,228.12,233.143,227.58,232.44,11962108.0
2025-03-17,234.32,236.17,233.52,234.97,10344866.0
2025-03-18,235.74,242.33,234.89,239.11,10120588.0
2025-03-19,236.56,241.76,236.2,239.01,8328513.0
2025-03-20,237.81,242.3,236.5,241.63,19326865.0
2025-03-24,249.31,251.82,247.6247,251.13,9287694.0
2025-03-25,252.6,254.67,249.78,251.03,12785225.0
2025-03-26,249.525,250.64,247.18,248.12,8022517.0
2025-03-27,246.94,249.505,241.11,242.85,11978417.0
2025-03-31,242.62,245.69,240.8818,243.66,8054683.0
2025-04-01,241.6,247.245,241.46,245.82,7758750.0
2025-04-02,234.27,235.14,227.3,228.69,17188469.0
2025-04-03,215.305,217.7,208.93,210.28,27170689.0
2025-04-07,223.52,227.8378,213.25,216.87,19485734.0
2025-04-08,212.5,237.48,211.0,234.34,24022350.0
2025-04-09,230.0,230.3499,220.1,227.11,18896082.0
2025-04-10,226.31,238.575,225.0,236.2,20284450.0
2025-04-14,236.1,238.65,232.82,233.13,10912883.0
2025-04-15,232.0,233.58,227.93,229.61,9322325.0
2025-04-16,230.8,234.34,230.55,231.96,9554346.0
2025-04-21,231.98,235.99,231.37,235.59,10701399.0
2025-04-22,240.22,246.79,240.0,240.88,14126766.0
2025-04-23,239.74,245.4695,237.58,244.64,9055197.0
2025-04-24,244.65,245.62,241.75,243.55,8588564.0
2025-04-28,242.19,245.25,241.69,244.62,7216788.0
2025-04-29,241.21,245.22,238.43,244.62,12991699.0
2025-04-30,242.84,248.45,242.17,246.89,8689579.0
2025-05-01,251.26,253.6187,249.4629,252.51,7165044.0
2025-05-05,250.0,252.65,249.0,249.25,6369934.0
2025-05-06,249.85,252.45,248.83,249.39,8724267.0
2025-05-07,251.57,255.88,251.55,253.47,8320118.0
2025-05-08,254.5,255.51,252.34,253.08,5087639.0
2025-05-12,261.03,263.67,260.39,263.01,8588961.0
2025-05-13,263.0,266.64,262.29,265.64,8643060.0
2025-05-14,266.97,269.52,264.76,267.49,9214641.0
2025-05-15,267.5,268.4593,264.71,267.56,8932912.0
2025-05-19,262.52,266.66,262.3,265.68,8436337.0
2025-05-20,264.35,265.65,260.7263,261.04,7464045.0
2025-05-21,259.44,262.3,258.8687,260.67,6514113.0
2025-05-22,256.81,261.99,256.0001,260.71,6671841.0
2025-05-26,262.04,265.3,261.99,265.29,7506555.0
2025-05-27,266.24,266.72,262.9,263.49,5535408.0
2025-05-28,264.8,265.4099,262.53,264.37,5081992.0
2025-05-29,263.45,265.33,262.725,264.0,10977662.0
